Year,Month,Day,Consumption
2015,06,22,4.09721
2015,06,23,4.40062
2015,06,24,4.35041
2015,06,25,4.37219
2015,06,26,4.03716
2015,06,27,2.58342
2015,06,28,2.66105
2015,06,29,4.01154
2015,06,30,4.18081
2015,07,01,4.16564
2015,07,02,3.99417
2015,07,03,3.58763
2015,07,04,2.48784
2015,07,05,2.59656
2015,07,06,3.74518
2015,07,07,3.52179
2015,07,08,3.47713
2015,07,09,3.53122
2015,07,10,3.48560
2015,07,11,2.59025
2015,07,12,2.83879
2015,07,13,3.57967
2015,07,14,3.49139
2015,07,15,3.52508
2015,07,16,3.47632
2015,07,17,3.39088
2015,07,18,2.75077
2015,07,19,2.60469
2015,07,20,3.55788
2015,07,21,3.46465
2015,07,22,3.40073
2015,07,23,3.37280
2015,07,24,3.13542
2015,07,25,2.90362
2015,07,26,2.66416
2015,07,27,3.43997
2015,07,28,3.48440
2015,07,29,3.46009
2015,07,30,3.52683
2015,07,31,3.53354
2015,08,01,2.62633
2015,08,02,2.46799
2015,08,03,3.92745
2015,08,04,4.02955
2015,08,05,4.08861
2015,08,06,4.09818
2015,08,07,3.62951
2015,08,08,2.43287
2015,08,09,2.23745
2015,08,10,4.04537
2015,08,11,4.13771
2015,08,12,4.11134
2015,08,13,4.13065
2015,08,14,4.06424
2015,08,15,2.63436
2015,08,16,2.46320
2015,08,17,3.99985
2015,08,18,4.36186
2015,08,19,4.38757
2015,08,20,4.35777
2015,08,21,3.98756
2015,08,22,2.09319
2015,08,23,1.86721
2015,08,24,4.18167
2015,08,25,4.47200
2015,08,26,4.32034
2015,08,27,4.41106
2015,08,28,3.75828
2015,08,29,2.23903
2015,08,30,2.26665
2015,08,31,4.07579
2015,09,01,4.43674
2015,09,02,4.47351
2015,09,03,4.38999
2015,09,04,3.97526
2015,09,05,2.17448
2015,09,06,2.54628
2015,09,07,4.10529
2015,09,08,4.43933
2015,09,09,4.56792
2015,09,10,4.58868
2015,09,11,4.07653
2015,09,12,2.54953
2015,09,13,2.48168
2015,09,14,4.32891
2015,09,15,4.66455
2015,09,16,4.60668
2015,09,17,4.65206
2015,09,18,4.30098
2015,09,19,2.93327
2015,09,20,2.30695
2015,09,21,4.36049
2015,09,22,4.55132
2015,09,23,4.67936
2015,09,24,4.75821
2015,09,25,4.48957
2015,09,26,3.12225
2015,09,27,2.85190
2015,09,28,4.57101
2015,09,29,4.85268
2015,09,30,4.83456
2015,10,01,4.75263
2015,10,02,4.36768
2015,10,03,3.33591
2015,10,04,2.84329
2015,10,05,4.57051
2015,10,06,4.92833
2015,10,07,4.99539
2015,10,08,4.84770
2015,10,09,4.74135
2015,10,10,3.63369
2015,10,11,3.26165
2015,10,12,4.75138
2015,10,13,5.09056
2015,10,14,5.34081
2015,10,15,5.44885
2015,10,16,4.99148
2015,10,17,3.97710
2015,10,18,3.58541
2015,10,19,4.85427
2015,10,20,5.12382
2015,10,21,5.21149
2015,10,22,5.11362
2015,10,23,4.68797
2015,10,24,3.92639
2015,10,25,3.52394
2015,10,26,4.94549
2015,10,27,5.30798
2015,10,28,5.44524
2015,10,29,5.64471
2015,10,30,4.90649
2015,10,31,3.66268
2015,11,01,3.79790
2015,11,02,4.88758
2015,11,03,5.00427
2015,11,04,5.14054
2015,11,05,5.57036
2015,11,06,4.91608
2015,11,07,3.88687
2015,11,08,3.56392
2015,11,09,4.95652
2015,11,10,5.21952
2015,11,11,5.42268
2015,11,12,5.76745
2015,11,13,5.39697
2015,11,14,4.73015
2015,11,15,4.28608
2015,11,16,5.33814
2015,11,17,5.60066
2015,11,18,5.68977
2015,11,19,5.68348
2015,11,20,5.22598
2015,11,21,4.30022
2015,11,22,4.22887
2015,11,23,5.67635
2015,11,24,5.83814
2015,11,25,5.98238
2015,11,26,5.82829
2015,11,27,5.41992
2015,11,28,4.19079
2015,11,29,4.64488
2015,11,30,5.72951
2015,12,01,6.24997
2015,12,02,6.28415
2015,12,03,6.05050
2015,12,04,5.61030
2015,12,05,4.98894
2015,12,06,3.97107
2015,12,07,5.48305
2015,12,08,6.08038
2015,12,09,5.91892
2015,12,10,5.98706
2015,12,11,5.74678
2015,12,12,4.87782
2015,12,13,4.79525
2015,12,14,6.19058
2015,12,15,6.26465
2015,12,16,6.13693
2015,12,17,6.26396
2015,12,18,5.65169
2015,12,19,4.51797
2015,12,20,3.75456
2015,12,21,5.24138
2015,12,22,5.10315
2015,12,23,4.78366
2015,12,24,4.30422
2015,12,25,5.08423
2015,12,26,4.86888
